Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,These: Titel,These: These,Position: Position,Position: Begründung
11,FAMILIE,Familien-Partei Deutschlands,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,Wir könnten uns bei einigen wenigen Branchen eine EU-Steuer vorstellen. Beispielsweise auf den internationalen Finanzmärkten. Eine einheitliche Finanztransaktionssteuer könnte (anteilig) in den EU-Haushalt fließen und somit auch den nationalen Beitrag senken.
12,Volt,Volt Deutschland,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Volt ist überzeugt, dass Europa die Möglichkeit braucht, Geld aus Steuereinnahmen für den EU-Haushalt zur Verfügung zu haben. Besonders wichtig sind dabei Steuern auf Dinge und Handlungen, die dem Klima schaden sowie auf sehr große Vermögen."
13,PIRATEN,Piratenpartei Deutschland,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die EU hat die Möglichkeit, ihre Mitgliedsstaaten durch entsprechende Richtlinien zu Investitionen zu verpflichten, die dann mit deren Steuergeldern finanziert werden."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Eine vertiefte steuerpolitische Integration ist mehr als zwei Jahrzehnte nach Verwirklichung der Währungsunion längst überfällig. Das aktuelle Volumen an EU-Eigenmitteln ist verschwindend gering, verglichen mit dem Steueraufkommen der Nationalstaaten. Es ist Zeit für die schrittweise Einführung einer echten Fiskalunion."
15,HEIMAT,Die Heimat,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wenn die in weiten Teilen demokratisch nicht legitimierte EU Steuern erheben dürfte, wäre das ein Fass ohne Boden. Ideologische Programme, die in den Nationalstaaten nicht durchsetzbar sind, könnten dann mit dem Geld der europäischen Bürger einfach aus Brüssel diktiert werden. Das ist konsequent abzulehnen."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Nein, die Steuerpolitik obliegt den einzelnen Mitgliedsstaaten. Solche Thesen zielen bereits auf eine Supranation Europa ab, die alles Mögliche dezentral regeln soll - das kann nicht in unserem Interesse sein."
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die Einführung eigener EU-Steuern würden die nationale Souveränität der Mitgliedstaaten beeinträchtigen, so dass es schwierig ist, eine solche Entscheidung demokratisch zu legitimieren. Dies führt zudem zu einer zusätzlichen Belastung für die Bürgerinnen und Bürger, wenn die EU-Steuern zu den bereits bestehenden nationalen Steuern hinzukommen."
19,Bündnis C,Bündnis C - Christen für Deutschland,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die EU soll klare Regeln für die Besteuerung multinationaler Konzerne aufstellen und in Kooperation mit den Mitgliedsstaaten Steueroasen verhindern. Multinationale Unternehmen sollen eine Aufschlüsselung der Steuern, die sie in jedem Mitgliedstaat und in Steueroasen zahlen, veröffentlichen. Hier hat die EU eine wichtige Vermittlerfunktion zu erfüllen, aber keine eigenen Steuern zu erheben."
20,PdH,Partei der Humanisten,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Wir streben die Weiterentwicklung der EU zu einem föderalen Bundesstaat an, der mehr, auch steuerliche, Kompetenzen besitzt, um souverän handeln zu können. Die Erhebung eigener Steuern macht die EU handlungsfähiger und stärkt sie gegenüber dem Einfluss nationaler Einzelinteressen der Mitgliedstaaten. Diese Steuern sollten aber nicht automatisch die Gesamtbelastung der Bürger erhöhen, sondern letztlich die nationalen Beiträge der Mitgliedstaaten (BNE-Eigenmittel) ersetzen."
21,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die Brüsseler Politik der vergangenen Jahre lässt wenig Hoffnung auf einen sinnvollen und verantwortungsvollen Umgang mit zusätzlichen Mitteln, insbesondere mit Blick auf den Ukraine Krieg. Darüber hinaus gibt es prinzipielle Einwände. Wirtschaftliche Ressourcen sollten möglichst vor Ort genutzt werden. Wer eine Arbeit leistet, kennt ihren Wert. Werte EU-weit per Zwang von der arbeitenden Bevölkerung zu entnehmen und nach Befinden von EU Bürokraten einzusetzen, lehnen wir ab."
22,DKP,Deutsche Kommunistische Partei,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wir halten die EU für ein ungerechtes, imperialistisches, aggressives Konstrukt, das überwunden werden muss. Mit der Möglichkeit eigene Steuern zu erheben, würde dieses Konstrukt gestärkt. Die EU dient nach innen der Ausbeutung der schwächeren Ökonomien durch die starken Ökonomien. Die EU dient nach außen als Instrument zur Ausbeutung - Beispiel: afrikanischer Kontinent. Dadurch wird Flucht und Migration erzeugt, gegen die die EU dann wieder als Festung dient."
23,MLPD,Marxistisch-Leninistische Partei Deutschlands,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die Steuerlast für die Masse der Bevölkerung ist jetzt schon viel zu hoch. Die MLPD fordert stattdessen in ihrem Programm: „Senkung der Massensteuern, Abschaffung der indirekten Steuern und eine drastisch progressive Besteuerung der Großunternehmen, Großverdiener und großer Vermögen.“"
24,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,Die EU ist das wichtigste Instrument für die Unterwerfung Europas unter das Diktat der Finanzmärkte. Wir lehnen sie entschieden ab. Wir überlassen den Kampf gegen die EU nicht den Rechten und kämpfen gegen ihre nationalistische Politik. Weder im Rahmen der Europäischen Union noch durch die Institutionen des Nationalstaats können Arbeiter ihre Interessen durchsetzen. Stattdessen müssen Arbeiter für die Vereinigten Sozialistischen Staaten von Europa kämpfen.
25,ABG,Aktion Bürger für Gerechtigkeit,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die EU soll keine originäre Steuerhoheit erhalten, um Zwangsabgaben zu erheben. Die EU-Bürger bezahlen bereits genug Steuern, die von ihren Staaten erhoben werden. Insbesondere trägt die deutsche Mittelschicht mit die höchste Steuerlast in Europa."
26,dieBasis,Basisdemokratische Partei Deutschland,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,Steuern und Finanzen sollen in der Hoheit der Staaten bleiben. Die EU soll ein Bündnis souveräner Staaten bleiben und keinen eigenen staatsähnlichen Charakter erhalten. Eine EU-weite Steuer widerspricht dem Subsidiaritätsprinzip und entzieht sich dem Einfluss der Bürger auf ihre Erhebung und Höhe. Die EU ist über die Mitgliedsbeiträge der Mitgliedstaaten zu finanzieren.
27,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die Kompetenz, Steuern zu erheben, ist eine klassische Kompetenz der Nationalstaaten und gegebenenfalls ihrer Teilstaaten. Die EU als Staatenbund muss daher ihre Finanzmittel auf Basis von Zuschüssen und Weiterleitungen ihrer souveränen Mitglieder erhalten."
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wir lehnen die Ausweitung des EU-Haushaltes, die häufig mit demokratisch kaum kontrollierten Auflagen aus Brüssel einher geht und starke Lobbygruppen im Binnenmarkt begünstigt, ab. Stattdessen wollen wir den Mitgliedsstaaten wieder mehr haushaltspolitische Spielräume übertragen. Die EU kann aber in der Koordination der Steuerpolitik (Mindeststeuern für Konzerne, Finanztransaktionssteuern, nationale Vermögensbesteuerung) eine Rolle spielen."
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,
30,KLIMALISTE,Klimaliste Deutschland,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Kandidatenmeinung: Die EU finanziert sich bereits über die Einnahmen ihrer Mitgliedsstaaten, die wiederum Einnahmen durch nationale Steuern generieren. Eine zusätzliche Besteuerung der Bevölkerung ist daher abzulehnen. Eine Besteuerung internationaler Unternehmen hingegen ist sinnvoll und nötig, um nationalen „Steueroasen“ Einhalt zu gebieten und Verluste bei Mitgliedsstaaten zu vermeiden."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,neutral,"Steuern zu erheben ist eine Möglichkeit, sinnvolle und notwendige Investitionen in Klimaschutz und somit in unsere Zukunft und die der nächsten Generationen zu ermöglichen. Allerdings dürfen neue Steuern nicht dazu führen, dass Menschen, die bereits jetzt unter erhöhten Miet-, Heiz- und Lebensmittelpreisen leiden, zusätzlich zur Kasse gebeten werden. Sie müssen sozial-gerecht gestaltet sein. Wie wäre es mit einer Vermögenssteuer?"
32,PDV,Partei der Vernunft,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wir sind gegen jegliche Steuererhebungen, entsprechend sind wir erst recht gegen neue Steuern."
33,PdF,Partei des Fortschritts,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wenn die EU eigene Steuern erheben dürfte, gäbe es dafür nur zwei Möglichkeiten: Entweder durch zusätzliche neue Steuern, die neben jene der Mitgliedsstaaten treten oder durch eine Verschiebung des Rechts zur Steuererhebung von den Mitgliedsstaaten auf die EU in einzelnen Bereichen. Ersteres verbietet sich aufgrund der enormen finanziellen Belastung für die Bevölkerung in den letzten Jahren. Letzteres stände im Widerspruch zu den leeren Staatskassen so gut wie aller Mitgliedsstaaten."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Die Finanzierung der EU ist über die Abgaben der Länder geregelt, diese sollen die Steuerhoheit behalten."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Wir stehen zum Auto, unabhängig von der Antriebsart. Wir wollen das Verbrennerverbot wieder abschaffen. Unser Ziel ist es, die deutsche Spitzentechnologie des Verbrennungsmotors zu erhalten und technologieoffen weiterzuentwickeln. Synthetische Kraftstoffe spielen dafür eine zentrale Rolle. Wir schreiben keine Technologien vor."
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Die EU hat in einer historischen Entscheidung beschlossen, dass ab 2035 keine fossilen Verbrennungsmotoren in neuen Pkws zugelassen werden. Das ist ein wichtiger Schritt für den Klimaschutz, der allen Beteiligten die nötige Planungssicherheit bietet und die wirtschaftliche Zukunft der europäischen Automobilindustrie sichert. Bereits zugelassene Pkw mit Verbrennungsmotor sollen selbstverständlich auch nach 2035 noch genutzt werden dürfen."
3,SPD,Sozialdemokratische Partei Deutschlands,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Der Weg führt in Richtung Elektromobilität, die Hersteller haben ihn längst eingeschlagen, auch im LKW-Bereich. Um unsere Klimaziele zu erreichen, ist es wichtig, dass ab 2035 ausschließlich CO2-emissionsfreie PKW und leichte Nutzfahrzeuge neu zugelassen werden. Weiter werden durch eine verbesserte Ladeinfrastruktur Anreize für E-Autos geschaffen. Voraussetzung für die Wende zur Elektromobilität ist, dass in Zukunft auch in den niedrigeren Preissegmenten E-Autos auf dem Markt verfügbar sind."
4,AfD,Alternative für Deutschland,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,Wir wollen keinen Zwang und keine einseitige Förderung der E-Mobilität. Deutschland ist beim Verbrenner Technologieführer. Eine wichtige Voraussetzung für Innovation ist Technologieoffenheit. Die AfD stellt sich deshalb mit allen ihr zur Verfügung stehenden politischen Mitteln gegen das beschlossene EU-Verbot von Verbrennungsmotoren. Deutsche Automobilunternehmen und -zulieferer erleiden hierdurch einen erheblichen Wettbewerbsnachteil auf internationaler Ebene.
5,DIE LINKE,DIE LINKE,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Zentral ist, dass bezahlbare Alternativen für die Menschen geschaffen werden, die aufs Auto angewiesen sind."
6,FDP,Freie Demokratische Partei,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Wir wollen Verbrennungsmotoren klimafreundlich machen, nicht verbieten. Denn Verbrennungsmotoren sind nicht per se klimaschädlich, nur fossile Kraftstoffe sind es. Auch um die Flotte der weltweit über eine Milliarde Fahrzeuge mit Verbrennungsmotor klimaneutral zu machen, setzen wir auf die Substituierung fossiler Kraftstoffe durch synthetische Kraftstoffe, statt auf Verbote. Statt auf kleinteilige Regulierung durch Flottengrenzwerte setzen wir auf den Emissionshandel auch im Verkehr."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Nur, wenn der Motor nach dem ersten Anlassen sofort vollständig verbrennt. Außerdem: Wer dann noch einen Verbrenner fährt, sollte gezwungen werden, sich trotzdem im Ladesäulenstau anzustellen."
8,FREIE WÄHLER,FREIE WÄHLER,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Mobilitätsangebote müssen sich konsequent an den Bedürfnissen der Menschen vor Ort orientieren. Ideologische Vorgaben zu Antriebskonzepten, wie ein Verbot der Neuzulassung von Verbrennungsmotoren, sind nicht angebracht. Es muss vielmehr für jede Mobilitätsform technologieoffen möglich sein, die auch im Sinne des Klimaschutzes sinnvollste Lösung anzuwenden."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Der Klimaschutz, aber auch gesundheitliche Gründe, gebieten den baldigen Ausstieg aus der Verbrennertechnologie."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Die ÖDP fordert einen Zulassungsstopp für Neuwagen mit Verbrennungsantrieb ab 2027, die Halbierung der PKW-Flotte bis 2035 durch attraktive Alternativen zum eigenen Auto wie Car-Sharing-Angebote sowie 100 % erneuerbare Energie für Mobilität bis 2030 und Aufbau der dazu erforderlichen Infrastruktur. Der Einsatz synthetischer Kraftstoffe muss auf Schwerlastverkehr, Flug- und Schiffsverkehr u. a. Bereiche beschränkt werden, bei denen eine direkte Elektrifizierung schwer möglich ist."
11,FAMILIE,Familien-Partei Deutschlands,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Ein Verbot ist kontraproduktiv. Niemand wird mehr in der dringend benötigten Forschung und Innovation bezüglich Verbrennermotoren investieren. Unsere Familien-Partei möchte jedoch Alternativen mit modernen Mobilitätskonzepten, auch unter Einbeziehung des Schienenverkehrs vorantreiben."
12,Volt,Volt Deutschland,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,Volt will keine weiteren Zulassungen von Verbrennungsmotoren mit fossilen Brennstoffen ab 2035.
13,PIRATEN,Piratenpartei Deutschland,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Das Verbot ist überflüssig und die Frage irreführend. Der Termin 2035 ist für den Fahrzeugmarkt irrelevant, da bis dahin der Anteil der Neuwagen mit Verbrennungsmotoren minimal sein wird. Es handelt sich um einen technologischen Wandel bei dem eine veraltete Technologie durch eine neue Technologie mit vielen Vorteilen verdrängt wird."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Null-Abgasemissionen bei allen Personenfahrzeugen setzt voraus, dass alle neuen Fahrzeuge vollständig elektrisch, mit grünem Wasserstoff oder einer anderen umweltfreundlichen Technologie betrieben werden. Auch Fahrzeuge mit Verbrennungsmotoren, die eFuels tanken können, sollen ab 2035 nicht neu zugelassen werden dürfen. eFuels sind teuer und benötigen einen hohen Energiebedarf zur Herstellung, besitzen eine fragwürdige Umweltbilanz und stellen ein Hindernis für die Verkehrswende dar."
15,HEIMAT,Die Heimat,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Die Bürger sollen selbst entscheiden, welche Verkehrsmittel sie nutzen wollen. Alle Varianten haben ihre Vor- und Nachteile. Der Hype um E-Mobilität ist vor allem ideologisch motiviert, ignoriert aber zahlreiche (auch ökologische) Nachteile."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,Das EU-Parlament hat das faktische Ende des Verbrennungsmotors ab 2035 im März 2023 besiegelt. Trotzdem kann und sollte eine solche Entscheidung auf den Prüfstand gestellt werden. Eine kleine Partei muss nicht jeden Mehrheitsbeschluss unwidersprochen und kritiklos mittragen.
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Der Verkauf von Fahrzeugen mit Verbrennungsmotoren soll reduziert werden, um die Emissionen von Treibhausgasen zu verringern und die Luftqualität zu verbessern."
19,Bündnis C,Bündnis C - Christen für Deutschland,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,Das Verbrenner-Verbot ab 2035 in der EU lehnen wir ab und plädieren für Technologieoffenheit für die weitere Entwicklung von Mobilität. Der alleinige Fokus auf E-Autos darf nicht die individuelle Mobilität strangulieren und diese zum Privileg für Besserverdienende machen.
20,PdH,Partei der Humanisten,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Um den Klimawandel zu bekämpfen, müssen wir auf neue Antriebstechnologien setzen, welche klimafreundlich sind und möglichst geringe Umweltbelastungen mit sich bringen. Das Verbrennen fossiler Energieträger hat keine Zukunft! Allerdings können auch Verbrennungsmotoren CO2-neutral betrieben werden, wenn sie Wasserstoff oder synthetische Kraftstoffe nutzen. Das Ziel muss CO2-Einsparung sein und nicht die Vorgabe spezifischer Technologien. Daran sollte sich die Regulatorik orientieren."
21,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme zu,"Verbrennungsmotoren und Elektromotoren haben unterschiedliche Stärken und Schwächen. Welche Lösung günstiger und nachhaltiger ist, hängt vom Einzelfall ab. Wir sollten Transporttechnologien entsprechend vernünftigen Abwägungen und nicht festgefahrener Überzeugungen nutzen."
22,DKP,Deutsche Kommunistische Partei,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Wir brauchen eine wirkliche verkehrspolitische Wende und die Umlenkung des Güterverkehrs auf die Schiene und andere intelligente Verkehrsformen. Der Verbrennungsmotor ist ein Relikt aus dem letzten Jahrhundert. Eine vernünftige öffentliche Verkehrsinfrastruktur, die den Individualverkehr zurückdrängt, würde diese Debatte erübrigen. Die Verkehrswende darf nicht auf die Bevölkerung abgewälzt werden, sondern gehört durch die Energiekonzerne finanziert."
23,MLPD,Marxistisch-Leninistische Partei Deutschlands,2,Verbrennungsmotoren,Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.,stimme nicht zu,"Das dient nur den Profitinteressen der Auto- und Energiemonopole. Die Internationalistische Liste/MLPD fordert die Ersetzung aller mit fossilen Energien betriebenen Verkehrsmittel durch Elektro-, Wasserstoff-, Oberleitungs- und Schienenfahrzeuge; vorrangiger Ausbau des öffentlichen Schienenverkehrs. Schaffung von Millionen Arbeitsplätzen im Umweltschutz auf Kosten der Verursacher!"
